Strain,Phylum,Order,Genus+species,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
657_Capronia_pilosella,Ascomycota,Chaetothyriales, Capronia pilosella ,657, WUC28, DQ823106, DQ823099, DQ840554, DQ840561, DQ840565, DQ826737,
217_Chaetomium_globosum,Ascomycota,Sordariales, Chaetomium globosum ,217, GenBank, AY545725, AY545729, AAFU01000188 REGION: 73498 ..76125, AAFU01001128 REGION: 238 .. 2979 , DQ518176, DQ518179,
148_Cheilymenia_stercorea,Ascomycota,Pezizales, Cheilymenia stercorea ,148, OSC 100034, AY544705, AY544661, DQ471123, AY544733, DQ471052, DQ491500,
Chlamydomonas_reinhardtii,Chlorophyta,, Chlamydomonas reinhardtii ,, GenBank,  M32703.1,  AF183463,  G, G, paralog, U66954,
151_Chlorociboria_aeruginosa,Ascomycota,Helotiales, Chlorociboria aeruginosa ,151, OSC 100056, AY544713, AY544669, DQ471125, DQ470886, DQ471053, DQ491501,
867_Cintractia_sorghi-vulgaris,Basidiomycota,Ustilaginales, Cintractia sorghi-vulgaris ,867, CBS 104.17, DQ234548, AY745726, --, DQ234549, DQ028590, DQ200931,
Ciona_intestinalis,Animalia,, Ciona intestinalis ,, GenBank, AB013017,  AF212177,  AABS01000823 REGION: 9183.. 18948 , AABS01000442 REGION: 13491 ,..23574 , AB070230,
27_Cladochytrium_replicatum,Chytridiomycota,Chytridiales, Cladochytrium replicatum ,27, JEL180, AY546683, AY546688, DQ294587, DQ302774, DQ282607, AY997037,
3_Cladonia_caroliniana,Ascomycota,Lecanorales, Cladonia caroliniana ,3, 01-26-03.2, AY584664, AY584640, DQ782822, AY584684, DQ782888, DQ782832,
563_Clavaria_zollingeri,Basidiomycota,Cantharellales, Clavaria zollingeri ,563, TENN 58652 , AY657008, AY639882, AY857987-8 , AY780940, AY881024, AY854071,
1268_Clavispora_lusitaniae,Ascomycota,Saccharo-mycetales, Clavispora_lusitaniae,1268, GenBank, M55526, AAFT01000087 REGION: 56020.. 56838 , AAFT01000002 REGION: 415878.. 418490, AAFT01000003 REGION: 85594.. 88339 , AAFT01000062 REGION: 135156..136436 , AY321475,Candida lusitaniae 
767_Climacodon_septentrionalis,Basidiomycota,Stereales, Climacodon septentrionalis ,767, ZW s.n., AY705964, AY684165, AY864872 -3 , AY780941, AY885151, AY854082,
1084_Coccidioides_immitis,Ascomycota,Onygenales, Coccidioides immitis ,1084, RS, AAEC02000046 REGION: 75557.. 77144 , AAEC02000027 REGION: 29738 ..31122, AAEC02000017 REGION: 34058 ..37220, AAEC02000035 REGION: 62079.. 64829 , AAEC02000020 REGION: 35520..37037 , --,
147_Coccomyces_dentatus,Ascomycota,Rhytismatales, Coccomyces dentatus ,147, OSC 100021, AY544701, AY544657, --, DQ247789, DQ497605, DQ491499,
18_Coelomomyces_stegomyiae,Chytridiomycota,Blastocladiales, Coelomomyces stegomyiae ,18, DUH0008925 , AF322406, DQ273767, DQ294579, DQ302766, paralog, AY997038,
140_Coemansia_reversa,Zygomycota,Kickxellales, Coemansia reversa ,140, NRRL1564, AF007533, AY546689, DQ294594, DQ302783, DQ282615, AY997039,
709_Colacogloea_peniophorae,Basidiomycota,Microbotryo-mycetidae incertae sedis, Colacogloea peniophorae ,709, CBS 684.93, DQ234564 -5 , AY629313, DQ234569, DQ234550, DQ234566, DQ202270,
557_Collybia_tuberosa,Basidiomycota,Agaricales, Collybia tuberosa ,557, TENN 53540 , AY771606, AY639884, AY857982, AY787219, AY881025, AY854072,
447_Coltricia_perennis,Basidiomycota,Hymeno-chaetales, Coltricia perennis ,447, DSH 93-198, AF026583, AF287854, AY864867, AY218526, AY885147, --,
137_Conidiobolus_coronatus,Zygomycota,Entomoph-thorales, Conidiobolus coronatus ,137, NRRL28638, AF113418, AY546691, DQ294591, DQ302779, paralog, AY997041,
1087_Coprinopsis_cinerea,Basidiomycota,Agaricales, Coprinopsis cinerea ,1087, GenBank, M92991, AF041494, AACS01000015 REGION: 48684.. 52695 , AACS01000026 REGION: 389547.. 392387 , AACS01000024 REGION: 71702.. 73198 , AF345819,
626_Coprinus_comatus,Basidiomycota,Agaricales, Coprinus comatus ,626, ECV 3198, AY665772, AY635772, AY857983, AY780934, AY881026, AY854066,
285_Cortinarius_iodes,Basidiomycota,Agaricales, Cortinarius iodes ,285, PBM 2426, AY771605, AY702013, AY857984, AY536285, AY881027, AF389133,
700_Cotylidia_sp_MB5,Basidiomycota,Stereales, Cotylidia_sp_MB5,700, MB-5, AY705958, AY629317, AY864868, AY883422, AY885148, AY854079,Cotylidia sp.
1088_Cryptococcus_neoformans_var_neoformans,Basidiomycota,Filobasidiales, Cryptococcus neoformans_var_neoformans,1088, GenBank, L05428, AE017342 REGION: 277938.. 279341, XM_570943 , XM_570204 , XM_568462 , AB034643,Cryptococcus neoformans
Cryptosporidium_parvum,Apicomplexa,, Cryptosporidium parvum ,, GenBank, AF161859,  AF040725,  XM_626822 , XM_628533 ,U71180, AF040725,
166_Cudoniella_clavus,Ascomycota,Helotiales, Cudoniella clavus ,166, OSC 100054, DQ470992, DQ470944, DQ471128, DQ470888, DQ471056, DQ491502,
Cyanidioschyzon_merolae,Rhodophyta,, Cyanidioschyzon merolae ,, GenBank, AB158485, AB158485, AB095187, AP006490 REGION: 284244 .. 286886 , AB095182, AB158485,
454_Dacryopinax_spathularia,Basidiomycota,Dacrymycetales, Dacryopinax spathularia ,454, GEL 5052 , AY771603 , AY701525 , AY857981 , AY786054    , AY881020  , AY854070,
1077_Debaryomyces_hansenii,Ascomycota,Saccharomycetales, Debaryomyces hansenii ,1077, GenBank, DHA508273 , AF485980 , XM_456921 , CR382139 REGION: 645109.. 647847 , XM_460533 , AF210327,
355_Dendrographa__leucophaea_f_minor,Ascomycota,Arthoniales, Dendrographa _leucophaea_f_minor,355,10070, AF279381, AF279382, --, AY641034, DQ842007, DQ842015,Dendrographa minor
138_Dentiscutata_heterogama,Glomeromycota,Diversisporales, Dentiscutata_heterogama,138, FL225, AY635832, DQ273792, DQ294604, DQ302780, DQ282612, AY997088,Scutellospora heterogama
91_Dermatocarpon_miniatum,Ascomycota,Verrucariales, Dermatocarpon miniatum ,91,9702, AY584668, AY584644, DQ782821, DQ782863, DQ782893, DQ782837,
941_Dermea_acerina,Ascomycota,Helotiales, Dermea acerina ,941, CBS 161.38, DQ247809, DQ247801, DQ471164, DQ247791, DQ471091, AF141164,
935_Diaporthe_eres,Ascomycota,Diaporthales, Diaporthe eres ,935, CBS 109767, DQ471015, AF408350, --, DQ470919, DQ479931, DQ491514,
358_Dibaeis_baeomyces,Ascomycota,Pertusariales, Dibaeis baeomyces ,358, 93.08.20-1 1/1 , AF113712, AF279385, DQ842011, AY641037, DQ842008, DQ782844,
Dictyostelium_discoideum,Mycetozoa,, Dictyostelium discoideum ,, GenBank, X00601.1, X00601.1, AF058710, XM_631720 , X55972.1,  X00601.1,
136_Dimargaris_bacillispora,Zygomycota,Dimargaritales, Dimargaris bacillispora ,136, NRRL 2808, AB016020, DQ273791, DQ294588, DQ302775, DQ282609, AY997043,
179_Disciotis_venosa,Ascomycota,Pezizales,Disciotis venosa.,179, NRRL 22213 , AY544711, AY544667, DQ471131, DQ470892, DQ471060, DQ491503,
921_Dothidea_insculpta,Ascomycota,Dothideales, Dothidea insculpta ,921, CBS 189.58, DQ247810, --, DQ471154, DQ247792, DQ471081, AF027764,
274_Dothidea_sambuci,Ascomycota,Dothideales, Dothidea sambuci ,274, DAOM 231303, AY544722, AY544681, --, DQ522854, DQ497606, DQ491505,
Drosophila_melanogaster,Animalia,, Drosophila melanogaster ,, GenBank, M21017, M21017, NM_078569 , NM_057358 , NM_165850 , M21017,
455_Echinodontium_tinctorium,Basidiomycota,Agaricales, Echinodontium tinctorium ,455, DAOM 16666 , AF026578 , AF393056  , AY864882  , AY218482 , AY885157 , AY854088,
106_Echinoplaca_strigulacea,Ascomycota,Ostropales, Echinoplaca strigulacea ,106, 16001d, DQ782878, DQ782905, DQ782823, DQ782865, DQ782895, --,
661_Endocarpon_pallidulum,Ascomycota,Verrucariales, Endocarpon pallidulum ,661,4028, DQ823104, DQ823097, DQ840552, DQ840559, --, DQ826735,
456_Endocronartium_harknessii,Basidiomycota,Uredinales, Endocronartium harknessii ,456, CFB 22250, AY665785, AY700193, --, DQ234551, DQ234567, DQ206982,
539_Endogone_pisiformis,Zygomycota,Endogonales, Endogone pisiformis ,539, DAOM 233144, DQ322628, DQ273811, DQ294601, DQ302776, DQ282618, AY997046,
28_Entomophthora_muscae,Zygomycota,Entomoph-thorales, Entomophthora muscae ,28, ARSEF3074, AY635820, DQ273772, DQ294590, DQ302778, paralog, AY997047,
870_Entyloma_holwayi,Basidiomycota,Entylomatales, Entyloma holwayi ,870, CBS 111593, DQ234562, AY745721, --, DQ234552, DQ028593, DQ206984,
1072_Eremothecium_gossypii,Ascomycota,Saccharo-mycetales, Eremothecium_gossypii,1072, GenBank, AF113137, AF113137, NM_209535 , NM_211306 , NM_209079 , AF113137,Ashbya gossypii
668_Exophiala_dermatitidis,Ascomycota,Chaetothyriales, Exophiala dermatitidis ,668, WUC176, DQ823107, DQ823100, DQ840555, DQ840562, DQ840566, DQ826738,
669_Exophiala_pisciphila,Ascomycota,Chaetothyriales, Exophiala pisciphila ,669, WUC137, DQ823108, DQ823101, DQ840556, DQ840563, DQ840567, DQ826739,
558_Flammulina_velutipes,Basidiomycota,Agaricales, Flammulina velutipes ,558, TENN 52002, AY665781, AY639883, AY858966, AY786055, AY883423, AY854073,
688_Fomitiporia_mediterranea,Basidiomycota,Hymeno-chaetales, Fomitiporia mediterranea ,688, 3/22.7, AY662664, AY684157, AY864869 -70 , AY803748, AY885149, AY854080,
770_Fomitopsis_pinicola,Basidiomycota,Aphyllophorales, Fomitopsis pinicola ,770, MB 03-036, AY705967, AY684164, AY864874 -5 , AY786056, AY885152, AY854083,
139_Funneliformis_mosseae,Glomeromycota,Glomerales, Funneliformis_mosseae,139, UT101, AY635833, DQ273793, DQ294592, DQ302781, DQ282613, AY997053,Glomus mosseae
1082_Fusarium_graminearum,Ascomycota,Hypocreales, Fusarium graminearum ,1082, GenBank, --, AY188924, XM_381092 , AACM01000132 REGION: 154552.. 157390 , XM_388987 , AF132798,
466_Gautieria_otthii,Basidiomycota,Gautieriales, Gautieria otthii ,466, REG 636, AF393043, AF393058, AY864864 -5 , AY218486, AY883434, AF377072,
56_Geoglossum_nigritum,Ascomycota,Helotiales, Geoglossum nigritum ,56, OSC 100009, AY544694, AY544650, DQ471115, DQ470879, DQ471044, DQ491490,
574_Geosiphon_pyriformis,Glomeromycota,Archaeosporales, Geosiphon pyriformis ,574, W4756, AM183923, AM183920, AM183921, --, AM183922, --,
952_Gnomonia_gnomon,Ascomycota,Diaporthales, Gnomonia gnomon ,952, CBS 199.53, DQ471019, AF408361, DQ471167, DQ470922, DQ471094, DQ491518,
701_Grifola_frondosa,Basidiomycota,Aphyllophorales, Grifola frondosa ,701, DSH s.n., AY705960, AY629318, AY864876, AY786057, AY885153, AY854084,
562_Grifola_sordulenta,Basidiomycota,Aphyllophorales, Grifola sordulenta ,562, TENN 55054, AY665780,  AY645050, AY864877-9 , AY786058, AY885154, AY854085,
176_Gyromitra_californica,Ascomycota,Pezizales, Gyromitra californica ,176, OSC 100068, AY544717, AY544673, DQ471130, DQ470891, DQ471059, --,
66_Helvella_compressa,Ascomycota,Pezizales, Helvella compressa ,66, OSC 100019, AY544699, AY544655, --, DQ497613, DQ497604, DQ491496,
468_Henningsomyces_candidus,Basidiomycota,Agaricales, Henningsomyces candidus ,468, Thorn 156 , AF334916 , AF287864 , AY860521  , AY218513 , AY883424 , AY571043,
1083_Histoplasma_capsulatum,Ascomycota,Onygenales, Histoplasma capsulatum ,1083,  GenBank,  A, A, A, A, A, AB055230,
Homo_sapiens,Animalia,, Homo sapiens ,, GenBank, U13369, U13369, X63564, X63563, NM_001402 , U13369,
26_Hyaloraphidium_curvatum,Chytridiomycota,Mono-blepharidales, Hyaloraphidium curvatum ,26, SAG 235-1, Y17504, DQ273771, DQ294585, DQ302772, DQ282606, AY997055,
471_Hydnum_albomagnum,Basidiomycota,Cantharellales, Hydnum albomagnum ,471, PBM 2512, AY665777, AY700199, DQ234570, DQ234553, DQ234568, DQ218305,
186_Hydropisphaera_erubescens,Ascomycota,Hypocreales, Hydropisphaera erubescens ,186, ATCC 36093 , AY545722, AY545726, DQ518182, AY545731, DQ518174, --,
729_Hygrocybe_aff_conica_PBM_918,Basidiomycota,Agaricales, Hygrocybe_aff_conica_PBM_918 ,729, PBM 918, AY752965, AY684167, AY860522, AY803747, AY883425, AY854074,Hygrocybe aff. conica
714_Hygrophoropsis_aurantiaca,Basidiomycota,Boletales, Hygrophoropsis aurantiaca ,714, MB 03-127, AY662663, AY684156, AY858961 -2  , AY786059, AY883427, AY854067,
687_Hypocenomyce_scalaris,Ascomycota,Lecanorales, Hypocenomyce scalaris ,687,2058, DQ782886, DQ782914, DQ782854, DQ782875, DQ782918, DQ782852,
1075_Kluyveromyces_lactis,Ascomycota,Saccharo-mycetales, Kluyveromyces lactis ,1075, GenBank, NC_006040 REGION: 1514508..1516092 , NC_006040 REGION: 1494981..1496333 , XM_455310 , XM_451784 , XM_451929 , AY338969,
1071_Lachancea_waltii,Ascomycota,Saccharo-mycetales, Lachancea_waltii,1071, GenBank, AADM01000401 REGION: 1935.. 3527 , AADM01000465 REGION: 1022 ..2407 , AADM01000294 REGION: 25792.. 28761 , AADM01000162 REGION: 31572.. 34283 , AADM01000010 REGION: 45684.. 46913 , AY046208,Kluyveromyces waltii
49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
682_Lactarius_deceptivus,Basidiomycota,Russulales, Lactarius deceptivus ,682, PBM 2462, AY707093, AY631899, AY864883-4   , AY803749 , AY885158 , AY854089,
639_Lecanora_hybocarpa,Ascomycota,Lecanorales,Lecanora hybocarpa,639, 03.07.04-2, DQ782883, DQ782910, DQ782829, DQ782871, DQ782901, DQ782849,
1_Leotia_lubrica,Ascomycota,Helotiales, Leotia lubrica ,1, OSC 100001, AY544687, AY544644, DQ471113, DQ470876, DQ471041, DQ491484,
896_Lichinella_iodopulchra,Ascomycota,Lichinales, Lichinella iodopulchra ,896, 16319a, --, --, DQ782857, DQ832328, DQ832327, DQ842016,
413_Lindra_thalassiae,Ascomycota,Lulworthiales, Lindra thalassiae ,413, JK 5090A, DQ470994, DQ470947, --, DQ470897, DQ471065, DQ491508,
424_Lulworthia_grandispora,Ascomycota,Lulworthiales, Lulworthia grandispora ,424, JK 4686, DQ522855, DQ522856, --, DQ518181, DQ497608, --,
480_Lycoperdon_pyriforme,Basidiomycota,Agaricales, Lycoperdon pyriforme ,480, DSH 96-054,  AF026619, AF287873, AY860523 -4 , AY218495, AY883426, AY854075,
1081_Magnaporthe_grisea,Ascomycota,Sordariomycetes incertae sedis, Magnaporthe grisea ,1081, GenBank, AB026819, AB026819, XM_362207 , XM_362269 , AY849694, AB026819,
1270_Meyerozyma_guilliermondii,Ascomycota,Saccharo-mycetales, Meyerozyma_guilliermondii,1270, GenBank, AB013587, AAFM01000051 REGION: 270781.. 272161, C, AY485613,  AAFM01000070 REGION: 128541.. 129769, AB054109,Candida guilliermondii
914_Microascus_trigonosporus,Ascomycota,Microascales, Microascus trigonosporus ,914, CBS 218.31, DQ471006, DQ470958, DQ471150, DQ470908, DQ471077, DQ491513,
76_Mollisia_cinerea,Ascomycota,Helotiales, Mollisia cinerea ,76, OSC 100029, DQ470990, DQ470942, DQ471122, DQ470883, DQ471051, DQ491498,
426_Monascus_purpureus,Ascomycota,Eurotiales, Monascus purpureus,426, CBS 109.07, DQ782881, DQ782908, DQ842012, --, --, DQ782847,
279_Monilinia_fructicola,Ascomycota,Helotiales, Monilinia fructicola ,279, DAOM 231119, AY544714, AY544670, --, DQ470889, DQ471057, DQ491506,
25_Monoblepharella_sp_M15,Chytridiomycota,Mono-blepharidales, Monoblepharella_sp_M15 ,25, M15, AY546682, AY546687, DQ294608, DQ302771, DQ282605, AY997060,Monoblepharella sp.
Monosiga_brevicollis,Choano-flagellida,, Monosiga brevicollis ,, GenBank, AF100940, AY026374, AF315821, --, paralog, --,
60_Morchella_esculenta,Ascomycota,Pezizales, Morchella_esculenta ,60, MV3, AY544708, AY544664, DQ471117, DQ470880, DQ471046, --,Morchella aff. esculenta
141_Mortierella_verticillata,Zygomycota,Mortierellales, Mortierella verticillata ,141, NRRL6337, AF157145, DQ273794, DQ294595, DQ302784, AF157262, AY997063,
556_Mycetinis_alliaceus,Basidiomycota,Agaricales, Mycetinis_alliaceus,556, TENN 55620, AY787214,  AY635776,  AY860525-6   , AY786060 , AY883430 -1 , AY854076,Marasmius alliaceus
196_Mycoblastus_sanguinarius,Ascomycota,Lecanorales, Mycoblastus sanguinarius ,196, 07.01.03-3, DQ782879, DQ782915, DQ782827, DQ782867, DQ782898, DQ782842,
1070_Naumovozyma_castellii,Ascomycota,Saccharo-mycetales, Naumovozyma_castellii,1070, GenBank, Z75577, AACF01000279 REGION: 1595..2975 , AACF01000092 REGION: 14761.. 17730 , AACF01000010 REGION: 85223.. 87931 , AACF01000123 REGION: 6264 .. 7490 , AY046180,Saccharomyces castellii
161_Nectria_haematococca,Ascomycota,Hypocreales, Nectria_haematococca,161, GJS 89-70, U32412, U00748, AY489666,  DQ518180,  AF543785, DQ518177,Fusarium aff. solani
638_Neocallimastix_cf_frontalis,Chytridiomycota,Neo-callimastigales, Neocallimastix_cf_frontalis,638, GE13, DQ322625, DQ273822, DQ294611, --, DQ282608, AY997064,Neocallimastix sp.
1078_Neurospora_crassa,Ascomycota,Sordariales, Neurospora crassa ,1078, GenBank, X04971, AF286411, XM_959004 , XM_952013 , XM_959775 , AF388914,
633_Olpidium_brassicae,Chytridiomycota,Spizello-mycetales, Olpidium brassicae ,633, DUH0009361 , DQ322624, DQ273818, DQ294609, --, paralog, AY997067,
906_Orbilia_auricolor,Ascomycota,Orbiliales, Orbilia auricolor ,906, CBS 547.63, DQ471001, DQ470953, --, DQ470903, DQ471072, DQ491512,
905_Orbilia_vinosa,Ascomycota,Orbiliales, Orbilia vinosa ,905, CBS 917.72, DQ471000, DQ470952, DQ471145, --, DQ471071, DQ491511,
296_Orceolina_kerguelensis,Ascomycota,Agyriales, Orceolina kerguelensis ,296,20964, DQ366257, AY212830, --, DQ366256, DQ366254, AY212814,
1062_Orphella_haysii,Zygomycota,Harpellales, Orphella_haysii ,1062, NS-35-W16, DQ322626, DQ273830, DQ294606, --, --, AY997068,Orphella aff. haysii
Oryza_sativa,Plantae,, Oryza sativa ,, GenBank, AF069218,  M11585, AP008214 REGION: 3222137 .. 3226410 , AL731878 REGION: 36606.. 41631, AK073196,  AF169230,
844_Paraglomus_occultum,Glomeromycota,Paraglomerales, Paraglomus occultum ,844, IA702, DQ322629, DQ273827, DQ294602, --, DQ282614, AY997069,
134_Peltigera_degenii,Ascomycota,Peltigerales, Peltigera degenii ,134, 19/02, AY584681, AY584657, DQ782826, AY584688, DQ782897, DQ782841,
892_Peltula_auriculata,Ascomycota,Lichinales, Peltula auriculata ,892,24901, DQ832332, DQ832330, DQ782856, DQ832331, --, DQ832329,
891_Peltula_umbilicata,Ascomycota,Lichinales, Peltula umbilicata ,891, 14901a-1 , DQ782887, DQ832334, DQ782855, DQ832335, DQ782919, DQ832333,
518_Peniophorella_praetermissa,Basidiomycota,Aphyllophorales, Peniophorella_praetermissa,518, GEL 2182, AY707094, AY700185, AY864871, AY787221, AY885150, AY854081,Hyphoderma praetermissum
224_Pertusaria_dactylina,Ascomycota,Pertusariales, Pertusaria dactylina ,224, 07.01.03-13, DQ782880, DQ782907, DQ782828, DQ782868, DQ782899, DQ782843,
71_Peziza_proteana_f_sparassoides,Ascomycota,Pezizales, Peziza proteana f. sparassoides ,71, OSC 100024, AY544703, AY544659, DQ518184, --, --, DQ491497,
507_Peziza_vesiculosa,Ascomycota,Pezizales, Peziza vesiculosa ,507, TL-6398, DQ470995, DQ470948, --, DQ470898, DQ471066, DQ491509,
776_Phanerochaete_chrysosporium,Basidiomycota,Aphyllophorales, Phanerochaete chrysosporium ,776, GenBank, AF026593, AF287883, AY864880, AADS01000047 REGION: 96253.. 99302 , AY885155, AY854086,
484_Phlebia_radiata,Basidiomycota,Aphyllophorales, Phlebia radiata ,484, FPL6140 , AF026606 , AF287885  , AY864881  , AY218502 , AY885155 , AY854087,
184_Phycomyces_blakesleeanus,Zygomycota,Mucorales, Phycomyces blakesleeanus ,184, NRRL1555, AY635837, DQ273800, DQ294607, DQ302789, DQ282620, AY997071,
84_Physcia_aipolia,Ascomycota,Lecanorales, Physcia aipolia ,84,  DQ782876, DQ782904, DQ782820, DQ782862, DQ782892, DQ782836,,
19_Physoderma_maydis,Chytridiomycota,Blastocladiales, Physoderma maydis ,19, DUH0007932 , AY601708, DQ273767, DQ294580, DQ302767, DQ282600, AY997072,
Phytophthora_sojae,Chromista,, Phytophthora sojae ,, GenBank, AY742749.1 , --, G, G, G, AF266769,
145_Piptocephalis_corymbifera,Zygomycota,Zoopagales, Piptocephalis corymbifera ,145, NRRL2385, AB016023, AY546690, DQ294610, DQ302788, DQ282619, AY997073,
710_Platygloea_disciformis,Basidiomycota,Platygloeales, Platygloea disciformis ,710,  IFO 32431, DQ234563, AY629314, --, DQ234554, DQ056288, DQ234556,
1004_Pleopsidium_chlorophanum,Ascomycota,Acarosporales, Pleopsidium chlorophanum ,1004, VR 8-VIII-02/8 , DQ525541, DQ842017, DQ782858, DQ525442, DQ782920, DQ525474,
